gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4029103981	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254598956/original.jpg	https://www.inaturalist.org/photos/254598956					2023-02-02T20:12:18Z	Kuoni W		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kuoni W
4029092347	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/255036657/original.jpeg	https://www.inaturalist.org/photos/255036657					2023-02-05T19:37:37Z	sckeane		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sckeane
4029056977	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254137544/original.jpeg	https://www.inaturalist.org/photos/254137544					2023-01-29T19:13:31Z	Daniel Das		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Daniel Das
4029056977	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254137497/original.jpeg	https://www.inaturalist.org/photos/254137497					2023-01-29T19:13:30Z	Daniel Das		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Daniel Das
4029056977	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254137481/original.jpeg	https://www.inaturalist.org/photos/254137481					2023-01-29T19:13:28Z	Daniel Das		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Daniel Das
4029018323	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254490581/original.jpeg	https://www.inaturalist.org/photos/254490581					2023-02-02T00:54:08Z	pretzelnugget		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pretzelnugget
4029018323	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254490570/original.jpeg	https://www.inaturalist.org/photos/254490570					2023-02-02T00:48:09Z	pretzelnugget		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pretzelnugget
4029005001	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253925013/original.jpeg	https://www.inaturalist.org/photos/253925013					2023-01-28T16:04:25Z	annieliveoak		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annieliveoak
4028985296	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254110912/original.jpg	https://www.inaturalist.org/photos/254110912					2023-01-26T23:08:43Z	Helen Schrayer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Helen Schrayer
4028959663	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253779611/original.jpg	https://www.inaturalist.org/photos/253779611					2023-01-27T20:11:06Z	jadeleven7		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jadeleven7
4028959663	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253779618/original.jpg	https://www.inaturalist.org/photos/253779618					2023-01-27T20:11:06Z	jadeleven7		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jadeleven7
4028946725	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253945427/original.jpeg	https://www.inaturalist.org/photos/253945427					2023-01-28T23:00:44Z	poezja9		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	poezja9
4028945424	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253161279/original.jpeg	https://www.inaturalist.org/photos/253161279					2020-02-13T00:14:00Z	smartinbiologist		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	smartinbiologist
4028928255	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253683422/original.jpg	https://www.inaturalist.org/photos/253683422					2023-01-26T20:09:01Z	Amanda Gabehart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Gabehart
4028928255	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253683402/original.jpg	https://www.inaturalist.org/photos/253683402					2023-01-26T20:09:01Z	Amanda Gabehart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Gabehart
4028928255	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253683412/original.jpg	https://www.inaturalist.org/photos/253683412					2023-01-26T20:09:01Z	Amanda Gabehart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Gabehart
4028864284	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254557034/original.jpeg	https://www.inaturalist.org/photos/254557034					2023-01-28T20:54:16Z	Julien de Cosmi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julien de Cosmi
4028864284	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/254557024/original.jpeg	https://www.inaturalist.org/photos/254557024					2023-01-28T20:53:50Z	Julien de Cosmi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julien de Cosmi
4028838937	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253954851/original.jpeg	https://www.inaturalist.org/photos/253954851					2023-01-28T19:41:45Z	Kuoni W		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kuoni W
4028822638	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/202892233/original.jpeg	https://www.inaturalist.org/photos/202892233					2022-06-03T07:16:02Z	Павел Сущинский		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Павел Сущинский
4028771509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134699376/original.jpg	https://www.inaturalist.org/photos/134699376					2021-06-07T22:55:06Z	nancyjw		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nancyjw
4028771509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134699351/original.jpg	https://www.inaturalist.org/photos/134699351					2021-06-07T22:55:06Z	nancyjw		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nancyjw
4028746066	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251720676/original.jpg	https://www.inaturalist.org/photos/251720676					2012-05-18T14:14:48Z	Vladimir Bryukhov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Vladimir Bryukhov
4028746066	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251720670/original.jpg	https://www.inaturalist.org/photos/251720670					2012-05-18T14:13:38Z	Vladimir Bryukhov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Vladimir Bryukhov
4028715016	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251964673/original.jpeg	https://www.inaturalist.org/photos/251964673					2023-01-14T22:52:19Z	Sylvain G		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sylvain G
4028701129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253519300/original.jpeg	https://www.inaturalist.org/photos/253519300					2023-01-25T20:18:43Z	Safron		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Safron
4028701129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253519205/original.jpeg	https://www.inaturalist.org/photos/253519205					2023-01-25T20:18:51Z	Safron		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Safron
4028701129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253519258/original.jpeg	https://www.inaturalist.org/photos/253519258					2023-01-25T20:18:37Z	Safron		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Safron
4028701129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253519384/original.jpeg	https://www.inaturalist.org/photos/253519384					2023-01-25T20:18:39Z	Safron		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Safron
4028681687	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187381822/original.jpg	https://www.inaturalist.org/photos/187381822					2022-04-09T15:58:52Z	kvh0009		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kvh0009
4028681687	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187381797/original.jpg	https://www.inaturalist.org/photos/187381797					2022-04-09T15:58:52Z	kvh0009		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kvh0009
4028681687	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187381843/original.jpg	https://www.inaturalist.org/photos/187381843					2022-04-09T15:58:52Z	kvh0009		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kvh0009
4028640804	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253954866/original.jpeg	https://www.inaturalist.org/photos/253954866					2023-01-28T19:42:15Z	Kuoni W		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kuoni W
4022341323	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252835466/original.jpeg	https://www.inaturalist.org/photos/252835466					2023-01-20T19:25:00Z	sweiss243		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sweiss243
4022341323	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252835179/original.jpeg	https://www.inaturalist.org/photos/252835179					2023-01-20T22:53:47Z	sweiss243		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sweiss243
4022335509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252972063/original.jpeg	https://www.inaturalist.org/photos/252972063					2023-01-21T17:16:39Z	annieliveoak		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annieliveoak
4022335509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252972093/original.jpeg	https://www.inaturalist.org/photos/252972093					2023-01-21T17:16:39Z	annieliveoak		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annieliveoak
4022335509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252973759/original.jpeg	https://www.inaturalist.org/photos/252973759					2023-01-21T17:16:39Z	annieliveoak		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annieliveoak
